evaporation_from_vegetation_transpiration_sum,soil_temperature_level_1,surface_net_solar_radiation_sum,temperature_2m,total_precipitation_sum,ndvi
0,309.6359711,2.15E+07,306.2052822,1.70E-04,0.302056226
0,309.8337231,2.23E+07,306.6393356,8.58E-07,0.303269887
0,310.3679638,2.16E+07,307.0668208,8.52E-07,0.304483548
0,310.5689786,2.21E+07,307.4257304,9.78E-08,0.305697209
0,310.5605729,2.07E+07,306.8692843,1.30E-04,0.306910869
0,309.1731065,1.95E+07,304.5871951,0.001421819,0.30812453
0,307.0942841,1.70E+07,303.1642831,7.70E-04,0.309338191
0,308.9020329,2.01E+07,305.3011799,8.55E-06,0.310551852
0,308.522239,1.98E+07,305.0066547,0.002843218,0.310135324
0,306.3823636,1.71E+07,303.0248636,0.013359689,0.309718797
0,306.2252064,1.97E+07,303.3697955,0.001435358,0.309302269
9.31E-10,307.0499268,2.10E+07,304.239596,1.56E-05,0.308885741
0,307.9582342,2.00E+07,305.6480586,7.86E-05,0.308469214
9.31E-10,307.6326071,2.02E+07,303.7610849,0.001130233,0.308052686
9.31E-10,304.9585145,1.41E+07,300.9834811,0.00823978,0.307636158
0,303.464723,1.49E+07,300.2492326,0.005201935,0.30721963
0,305.588995,2.03E+07,303.3109849,2.58E-05,0.306803103
0,306.7448139,1.97E+07,304.960371,6.71E-05,0.306386575
0,307.3564281,1.94E+07,304.8866704,1.58E-04,0.305970047
0,308.0341562,1.87E+07,305.555268,1.66E-04,0.30555352
0,307.8676128,1.67E+07,305.4668967,3.62E-04,0.305136992
0,307.898955,1.76E+07,305.4140765,6.73E-04,0.304720464
0,308.3618965,1.82E+07,305.6094462,4.92E-04,0.304303937
0,308.9573968,1.95E+07,305.1016312,3.03E-04,0.303887409
0,309.3136565,1.97E+07,305.4065196,0.001516792,0.303470881
9.31E-10,308.6561667,2.00E+07,304.7983119,0.001747209,0.303054354
9.31E-10,309.0458501,2.01E+07,305.7538554,0.001253528,0.302637826
9.31E-10,309.9225146,1.99E+07,306.6768036,3.55E-04,0.302221298
9.31E-10,309.2756246,1.88E+07,306.2753194,6.55E-04,0.302198395
0,310.5240968,1.95E+07,307.240764,0.001380475,0.302175492
9.31E-10,309.1797632,1.91E+07,305.6061331,0.003424024,0.302152589
0,306.9969927,1.48E+07,303.1990967,0.00931257,0.302129686
9.31E-10,304.7927831,1.16E+07,301.7045746,0.005320335,0.302106783
9.31E-10,306.4944744,1.83E+07,304.0548731,1.96E-04,0.30208388
0,306.2779484,1.63E+07,304.0168667,0.005426754,0.302060977
0,305.9968249,1.57E+07,304.20847,0.005107482,0.302038074
9.31E-10,305.413077,1.47E+07,302.9959984,0.016526349,0.302015172
9.31E-10,302.5101026,5615495.625,300.6653175,0.026421375,0.301992269
0,303.3921121,1.15E+07,301.4282684,0.006939245,0.301969366
9.31E-10,304.8866049,1.68E+07,303.0876083,0.001138012,0.301946463
9.31E-10,304.9678637,1.54E+07,303.1318264,0.003665864,0.30192356
9.31E-10,304.4552879,1.39E+07,302.8630066,0.01179148,0.301900657
9.31E-10,304.3828036,1.44E+07,302.8784987,0.003361861,0.301877754
0,304.4166005,1.44E+07,302.9481354,0.004685504,0.301854851
9.31E-10,304.6523895,1.49E+07,303.6467902,0.001003219,0.301831948
9.31E-10,305.6312841,1.77E+07,304.7957662,6.01E-04,0.301809045
1.86E-09,305.3254325,1.39E+07,303.8389492,0.009284502,0.301786142
0,302.5533021,6366269.375,300.710137,0.021460781,0.301763239
0,300.5331847,3283008.375,299.0214157,0.038526523,0.301740336
1.86E-09,301.5721607,8656495.375,300.7176298,0.009880974,0.301717433
0,302.5659428,1.08E+07,301.2327175,0.005020259,0.30169453
1.86E-09,303.5998669,1.28E+07,302.1440112,0.013420775,0.301671627
0,301.8522339,6930696,300.8115622,0.007017437,0.301648724
0,303.1361338,1.24E+07,302.3945764,0.002112115,0.301625821
0,302.402221,8278137.25,301.6852245,0.011828756,0.301602918
0,303.8406951,1.58E+07,303.0236721,0.004300585,0.301580015
0,304.0764376,1.52E+07,303.0232245,0.002386945,0.301557112
9.31E-10,303.4480305,1.18E+07,302.2381172,0.004917641,0.301534209
9.31E-10,302.0662473,6742713,301.5382646,0.002797893,0.301511306
9.31E-10,303.0915464,1.23E+07,302.3199056,0.005762722,0.301488403
0,303.4500338,1.17E+07,302.0467529,0.025025267,0.3014655
0,302.4757029,8337296.875,300.9411894,0.035262861,0.301442597
9.31E-10,301.3830522,6747998.75,300.1600393,0.034455832,0.301419694
9.31E-10,300.3966726,3472399.75,299.445521,0.019466884,0.301396791
0,300.520593,5639088.375,299.7541758,0.015132372,0.301373888
0,302.3946546,1.43E+07,302.1785666,0.002098904,0.301350985
9.31E-10,303.6101589,1.55E+07,303.237072,0.002896746,0.301328082
0,303.9737225,1.49E+07,302.6837432,0.004425097,0.30130518
0,302.4741999,1.03E+07,301.1589553,0.020122899,0.301282277
0,301.1304677,6729516.25,299.8591563,0.03214124,0.301259374
0,302.475975,1.25E+07,301.3797798,0.007689469,0.301236471
0,302.4418742,1.12E+07,301.0617517,0.011050614,0.301213568
0,301.2300326,7713198.5,299.9187393,0.018103347,0.301190665
1.86E-09,300.7638372,8337898.5,300.014204,0.009079265,0.301167762
9.31E-10,300.734621,8717868.5,299.487428,0.017703466,0.301144859
0,300.0295887,4714358,299.1255569,0.052698708,0.301121956
9.31E-10,300.2433338,6609173.375,299.5641861,0.047811991,0.301099053
0,300.0658073,6285667,299.3007526,0.014063488,0.30107615
9.31E-10,299.1903954,2295209,298.5694904,0.025865935,0.301053247
9.31E-10,301.3168411,1.38E+07,301.1795311,0.006159676,0.301030344
0,302.7866033,1.76E+07,302.4540253,0.002080109,0.301007441
9.31E-10,303.2989343,1.68E+07,303.033315,3.53E-04,0.300984538
0,303.6517658,1.62E+07,302.9957962,0.001942101,0.300961635
0,303.1842537,1.49E+07,302.4036795,0.002264728,0.300938732
9.31E-10,302.9134057,1.52E+07,302.3772144,0.002773803,0.300915829
9.31E-10,301.9177411,1.19E+07,300.6413263,0.010724975,0.300892926
9.31E-10,301.2637049,9618214.25,300.3094743,0.006195666,0.300870023
0,300.9384289,9558872.625,299.8376649,0.016858933,0.30084712
9.31E-10,301.2630946,1.04E+07,300.2766145,0.019382395,0.300824217
0,302.4993916,1.39E+07,301.4288508,0.006383342,0.300801314
0,303.1891219,1.46E+07,301.9351985,0.006581176,0.300778411
9.31E-10,302.9241511,1.28E+07,301.8354365,0.006640551,0.300755508
0,302.7488874,1.34E+07,301.5004279,0.01502635,0.300732605
1.86E-09,301.8449281,8273757.375,300.9903119,0.013286287,0.300709702
0,300.8386046,5293262.625,299.7695878,0.018364797,0.300686799
0,302.4488144,1.24E+07,301.8386396,5.93E-04,0.300663896
9.31E-10,302.210111,1.18E+07,301.7928301,0.002096491,0.300640993
0,302.1362114,1.44E+07,301.4586906,3.27E-04,0.30061809
1.86E-09,302.2728717,1.52E+07,301.1994534,9.58E-05,0.300595188
9.31E-10,302.0874672,1.41E+07,300.7924773,0.001002175,0.300572285
9.31E-10,302.3335921,1.64E+07,301.6259918,0.003514202,0.300549382
0,302.2874972,1.49E+07,301.2966328,0.005974611,0.300526479
0,303.4268786,1.68E+07,302.1611404,0.003751119,0.300503576
9.31E-10,302.6796411,1.07E+07,301.4192181,0.007910979,0.300480673
0,303.0977561,1.60E+07,302.4115283,0.001164139,0.30045777
0,303.7618459,1.66E+07,302.9072895,0.002451097,0.300434867
0,303.9451288,1.61E+07,302.6117999,0.008254116,0.300411964
0,302.6953716,1.09E+07,301.1463916,0.022712167,0.300389061
0,301.8011189,9146883,300.4273186,0.005696887,0.300366158
0,302.3980859,1.33E+07,301.1515814,0.00437678,0.300343255
0,302.7217452,1.53E+07,301.9387684,9.59E-04,0.300320352
0,302.3600928,1.81E+07,301.638457,1.11E-05,0.300297449
0,302.2538961,1.70E+07,301.4801992,9.28E-04,0.300274546
0,302.3660285,1.75E+07,301.6541252,9.51E-04,0.300251643
0,302.288688,1.61E+07,301.6025352,8.06E-04,0.30022874
0,302.4269517,1.60E+07,301.646478,5.01E-04,0.300205837
0,303.1096299,1.49E+07,301.6386166,0.002271967,0.300182934
0,303.0542628,1.54E+07,302.1565138,9.00E-04,0.300160031
0,302.8913447,1.60E+07,301.7220046,0.001502039,0.300137128
0,302.7881374,1.51E+07,301.1677806,0.00199705,0.300114225
0,302.1491286,1.23E+07,300.314874,0.018208057,0.300091322
0,300.8899841,9347554.125,299.3853137,0.002960986,0.300068419
0,301.744112,1.39E+07,300.2874482,0.005567489,0.300045516
0,302.3950539,1.47E+07,300.9680328,0.004927128,0.300022613
0,302.523922,1.40E+07,300.8106219,0.021873071,0.29999971
0,301.8619181,1.24E+07,300.1108646,0.012776744,0.299976807
0,301.4638888,1.19E+07,300.1520348,0.003915455,0.299953904
0,302.1469542,1.39E+07,301.4340731,0.001383753,0.299931001
0,302.7444967,1.49E+07,301.4612166,0.004557208,0.299908099
0,301.5350609,1.27E+07,300.0563672,0.004337046,0.299885196
0,300.5297661,9763304.437,298.8517666,0.007323637,0.299862293
0,301.3740063,1.52E+07,299.6084646,0.002351277,0.29983939
0,300.9105123,1.27E+07,299.3153528,0.003339003,0.299816487
0,301.3976727,1.43E+07,299.9299844,0.001309108,0.299793584
0,301.1248169,1.38E+07,299.7741572,6.37E-04,0.299770681
9.31E-10,301.384079,1.40E+07,300.1741619,3.87E-04,0.299747778
0,301.7942753,1.44E+07,300.2850494,0.001647894,0.299724875
0,301.3657252,1.41E+07,300.0593065,2.77E-04,0.299701972
0,302.2080402,1.49E+07,301.0919151,5.03E-04,0.299679069
0,302.4102173,1.43E+07,301.6055393,7.19E-04,0.299656166
1.86E-09,302.7144438,1.41E+07,301.4960524,0.003836063,0.299633263
0,302.8877722,1.37E+07,301.9973399,0.005146115,0.29961036
0,302.342933,1.29E+07,300.9014225,0.003726035,0.299587457
0,302.1205947,1.26E+07,300.3056583,0.014569667,0.299564554
9.31E-10,300.2000116,6372723.234,298.7739932,0.004261998,0.299541651
0,301.7434731,1.45E+07,300.6981398,0.001221059,0.299518748
9.31E-10,301.8671888,1.36E+07,300.3347689,0.001485611,0.299495845
9.31E-10,300.836689,1.26E+07,299.1697127,5.73E-04,0.299472942
0,300.9280682,1.50E+07,299.6533642,2.60E-05,0.299450039
0,299.7635841,1.64E+07,298.6168416,2.57E-06,0.299427136
